train_loss,step,time,val_loss
6.644148826599121,1,767793.793979284,6.643870830535889
6.6439313888549805,2,767793.822715294,6.643640518188477
6.643655776977539,3,767793.8345798,6.643382549285889
6.643324851989746,4,767793.846067012,6.643095970153809
6.642923831939697,5,767793.857403129,6.6427717208862305
6.6424641609191895,6,767793.868777721,6.6424078941345215
6.641819953918457,7,767793.880094317,6.642000198364258
6.640863418579102,8,767793.89136902,6.641542911529541
6.639764785766602,9,767793.902645161,6.641016960144043
6.638500213623047,10,767793.914095545,6.640408992767334
6.6367011070251465,11,767793.925289481,6.639701843261719
6.634787559509277,12,767793.936574777,6.638878345489502
6.631682395935059,13,767793.947856156,6.637917995452881
6.628086566925049,14,767793.959086796,6.636800289154053
6.623664379119873,15,767793.97027638,6.635493278503418
6.619976043701172,16,767793.980574083,6.633966445922852
6.615098476409912,17,767793.990887979,6.632190704345703
6.609234809875488,18,767794.001098454,6.63014030456543
6.6035475730896,19,767794.01117308,6.627805233001709
6.600852012634277,20,767794.021377692,6.625192642211914
6.592820167541504,21,767794.031427287,6.622323036193848
6.593748092651367,22,767794.04150811,6.61927604675293
6.586636066436768,23,767794.051564031,6.616110324859619
6.585338592529297,24,767794.061610391,6.612912654876709
6.5828328132629395,25,767794.071687226,6.609762668609619
6.5859055519104,26,767794.081736627,6.606745719909668
6.581649303436279,27,767794.091806633,6.6038994789123535
6.581084251403809,28,767794.101864136,6.601262092590332
6.57600736618042,29,767794.111804726,6.598845958709717
6.576188564300537,30,767794.121736479,6.596656322479248
6.5758748054504395,31,767794.131485959,6.594687461853027
6.576053142547607,32,767794.141251339,6.592926979064941
6.57270622253418,33,767794.151050658,6.5913567543029785
6.574631690979004,34,767794.160818873,6.589958190917969
6.576805591583252,35,767794.170594532,6.588721752166748
6.576574802398682,36,767794.180389801,6.587623119354248
6.574211597442627,37,767794.190155627,6.586648464202881
6.575478553771973,38,767794.199947263,6.585780143737793
6.574247360229492,39,767794.209908298,6.585006237030029
6.574941635131836,40,767794.219723587,6.5843186378479
6.5775299072265625,41,767794.229742544,6.583700656890869
6.573480606079102,42,767794.239537318,6.583148956298828
6.574380397796631,43,767794.249346829,6.582651138305664
6.5743513107299805,44,767794.259161545,6.582202911376953
6.578393936157227,45,767794.268953506,6.581799507141113
6.57620906829834,46,767794.278747084,6.581434726715088
6.577033519744873,47,767794.288515199,6.5811028480529785
6.577559947967529,48,767794.298348519,6.580801010131836
6.574416160583496,49,767794.308175098,6.580527305603027
6.574017524719238,50,767794.318114533,6.58027458190918
6.5756754875183105,51,767794.328041166,6.5800461769104
6.5754475593566895,52,767794.338173703,6.579833984375
6.575791835784912,53,767794.348169085,6.579639911651611
6.576059818267822,54,767794.358157969,6.5794596672058105
6.572710990905762,55,767794.368124044,6.579294204711914
6.57429313659668,56,767794.378121445,6.57913875579834
6.575075626373291,57,767794.388133165,6.5789971351623535
6.573823928833008,58,767794.398137387,6.57886266708374
6.571765899658203,59,767794.408181545,6.578737735748291
6.576756000518799,60,767794.418276623,6.578620910644531
6.577317237854004,61,767794.428479242,6.578510761260986
