val_loss,step,time,val_accuracy
0.6856457367539406,1,804920.013464291,0.5
0.6688134968280792,2,804920.224756041,0.775
0.6299094781279564,3,804920.431718583,0.8916666666666667
0.5510561168193817,4,804920.651365,0.8916666666666667
0.44521554186940193,5,804920.865975833,0.8833333333333333
0.34688461013138294,6,804921.068314791,0.875
0.2862533628940582,7,804921.276377625,0.875
0.24722124077379704,8,804921.48024275,0.9166666666666666
0.24315766245126724,9,804921.681222166,0.8916666666666667
0.21032698079943657,10,804921.883017333,0.9166666666666666
0.18221927527338266,11,804922.083526791,0.9416666666666667
0.16492091305553913,12,804922.27980125,0.9416666666666667
0.14584773126989603,13,804922.480984,0.9583333333333334
0.13029685150831938,14,804922.679996166,0.9583333333333334
0.11349239759147167,15,804922.957335375,0.9583333333333334
0.10486558312550187,16,804923.2383815,0.9666666666666667
0.11154154688119888,17,804923.446901083,0.9666666666666667
0.08833534177392721,18,804923.643400375,0.975
0.0808298927731812,19,804923.844203166,0.975
0.06678066239692271,20,804924.050966916,0.975
0.06742938654497266,21,804924.247216958,0.9833333333333333
0.0564973303116858,22,804924.445994791,0.9833333333333333
0.05840261001139879,23,804924.647765041,0.9833333333333333
0.061761631397530437,24,804924.846571541,0.9833333333333333
0.05264807166531682,25,804925.050287166,0.9833333333333333
0.06148706655949354,26,804925.251871208,0.9833333333333333
0.0400039772503078,27,804925.447670666,0.9833333333333333
0.03401621093507856,28,804925.649946458,0.9916666666666667
0.03524147078860551,29,804925.859978666,0.9916666666666667
0.03713407414034009,30,804926.071719458,0.9833333333333333
0.03502793051302433,31,804926.287290583,0.9833333333333333
0.026699567097239196,32,804926.484429041,0.9916666666666667
0.026954525616019964,33,804926.686782083,0.9916666666666667
0.024796526529826224,34,804926.887907458,0.9916666666666667
0.022821022663265467,35,804927.096614708,0.9916666666666667
0.021852848993148655,36,804927.3014035,0.9916666666666667
0.023009916534647346,37,804927.503145083,0.9916666666666667
0.02431599097326398,38,804927.70247175,0.9916666666666667
0.018411817611195147,39,804927.901490625,1.0
0.021019633044488728,40,804928.10378275,0.9916666666666667
0.022343678283505142,41,804928.304788458,0.9916666666666667
0.016152742377016693,42,804928.500859125,1.0
0.02064844558481127,43,804928.70084025,0.9916666666666667
0.015393146430142224,44,804928.895743208,1.0
0.014658064988907427,45,804929.094479875,1.0
0.015897147124633193,46,804929.289025208,1.0
0.013798779575154185,47,804929.484503541,1.0
0.017498661705758423,48,804929.688521416,0.9916666666666667
0.013434122956823558,49,804929.890290541,1.0
0.014536123373545706,50,804930.098855125,1.0
0.010908804484643042,51,804930.294781666,1.0
0.01273297524312511,52,804930.499471416,1.0
0.010504493257030845,53,804930.694907166,1.0
0.012206260696984828,54,804930.896486666,1.0
0.02020448283292353,55,804931.092768291,0.9916666666666667
0.008923397559556179,56,804931.307095833,1.0
0.012991600146051496,57,804931.523711166,1.0
0.010543049196712673,58,804931.7265045,1.0
0.011658264847937971,59,804931.92154975,1.0
0.01039609097642824,60,804932.116457458,1.0
0.008344504225533456,61,804932.311090958,1.0
0.010485662904102355,62,804932.531699,1.0
0.012574024905916303,63,804932.73391675,1.0
0.007486813730793074,64,804932.940946166,1.0
0.0074443460325710475,65,804933.15935475,1.0
0.010816254914971069,66,804933.372608666,1.0
0.0066209156066179276,67,804933.570671208,1.0
0.009165037685306743,68,804933.769752291,1.0
0.011835228477139026,69,804933.966837958,0.9916666666666667
0.00661056672106497,70,804934.160997375,1.0
0.013186789263272658,71,804934.364350958,0.9916666666666667
0.008343940338818356,72,804934.562556083,1.0
0.007231193827465177,73,804934.760206041,1.0
0.006371264811605215,74,804934.96555975,1.0
0.010950147930998355,75,804935.326019208,1.0
0.009854520671069622,76,804935.542485916,1.0
0.011384205892682076,77,804935.745156791,0.9916666666666667
0.006017356121446937,78,804935.943247166,1.0
0.009405143413459882,79,804936.153852125,1.0
0.007126448443159461,80,804936.353167625,1.0
0.011543180648004636,81,804936.565527875,0.9916666666666667
0.006542101327795535,82,804936.779684708,1.0
0.009964426571968943,83,804936.981179208,0.9916666666666667
0.005111511622089893,84,804937.173702916,1.0
0.0068081593490205705,85,804937.380550916,1.0
0.008492100969306193,86,804937.590130291,1.0
0.007154795748647302,87,804937.792811125,1.0
0.007341292774071917,88,804937.999312875,1.0
0.010785664460854605,89,804938.267916833,0.9916666666666667
0.006375147000653669,90,804938.4635935,1.0
0.015648312917619478,91,804938.662700875,0.9916666666666667
0.006612224227865227,92,804938.864356583,1.0
0.005192487267777324,93,804939.065330291,1.0
0.0074401236634003,94,804939.26243575,1.0
